FOURTEEN	THIRTEEN	TWELVE	ELEVEN	TEN	NINE	EIGHT	SEVEN	id
75	75	75	75	0	0	0	75	56
75	75	75	75	0	0	0	75	57
75	75	75	75	0	0	75	75	58
75	75	75	75	0	0	0	75	59
75	0	75	75	0	0	0	75	60
75	0	0	75	0	0	75	75	61
75	75	75	75	0	0	0	75	62
75	75	75	75	0	0	75	0	63
75	75	75	75	0	75	75	75	64
75	75	75	75	0	0	75	75	65
75	75	75	75	204	0	75	75	66
75	75	75	75	0	75	75	75	67
75	75	75	75	0	75	75	75	68
75	75	75	75	0	0	75	75	69
75	75	75	75	0	0	75	75	70
75	75	75	75	0	0	75	75	71
75	75	75	75	0	0	75	75	72
75	75	75	75	75	75	75	75	73
75	75	75	75	75	75	75	75	74
75	75	75	75	75	75	75	75	75
75	75	75	75	75	75	75	75	76
75	75	75	75	75	75	75	75	77
75	75	75	75	75	75	75	75	78
75	75	75	75	75	75	75	75	79
75	75	75	75	75	75	75	75	80
75	75	75	75	75	75	75	75	81
75	75	75	75	0	0	0	75	82
75	75	75	75	0	0	0	75	83
75	75	75	75	0	75	75	75	84
75	75	75	75	0	75	0	75	85
75	75	75	75	0	0	75	75	86
75	75	75	75	0	0	75	75	87
75	75	75	75	0	0	75	75	88
75	75	75	75	0	75	75	75	89
75	75	75	75	75	0	75	75	90
75	75	75	75	0	75	75	75	91
75	75	75	75	0	0	0	75	92
75	75	75	75	0	75	0	75	93
75	75	75	75	0	75	0	75	94
75	75	75	75	0	0	0	0	95
204	204	204	204	0	0	0	0	96
204	204	204	204	0	0	0	0	97
204	204	204	204	0	75	0	0	98
204	204	204	204	0	0	0	75	99
204	204	204	204	0	0	0	75	100
204	204	204	204	0	0	0	75	101
0	0	0	0	0	0	0	0	102
0	0	0	0	0	0	0	0	103
75	75	0	204	0	0	0	0	104
75	75	0	204	0	0	0	0	105
0	0	0	0	0	0	0	0	106
0	0	0	0	0	0	0	0	107
204	204	204	75	75	0	0	75	108
0	75	75	0	75	0	0	75	109
75	0	0	0	0	0	0	0	110
0	0	0	0	0	0	204	0	111
0	0	0	0	75	0	204	0	112
0	0	0	0	0	0	204	0	113
0	0	0	0	0	0	0	0	114
0	0	0	0	0	0	204	0	115
0	0	0	0	75	0	204	0	116
0	0	0	0	75	0	75	0	117
0	0	0	0	75	0	75	75	118
0	0	0	0	0	0	0	0	119
0	0	0	0	0	0	0	0	120
0	0	0	0	0	0	0	204	121
0	0	0	0	0	0	0	204	122
0	0	0	0	204	0	0	204	123
75	75	75	75	0	75	0	75	124
75	75	75	75	75	0	75	75	125
75	75	75	75	0	0	0	75	126
75	75	75	75	75	0	75	75	127
75	75	75	75	75	0	0	204	128
75	204	204	204	75	75	75	204	129
75	204	204	204	0	0	0	0	130
75	75	75	75	0	0	0	75	131
75	204	75	204	75	0	0	204	132
75	75	75	75	75	0	0	75	133
204	204	75	204	75	75	0	204	134
75	75	75	75	75	0	75	75	135
75	204	204	75	75	75	75	75	136
0	0	0	0	0	0	0	0	137
0	0	0	75	0	0	0	75	138
0	0	0	75	0	0	0	75	139
0	0	0	0	0	0	0	0	140
0	0	0	0	0	0	0	0	141
0	0	0	0	0	0	0	0	142
0	0	0	0	0	0	75	0	143
0	0	0	0	0	0	0	0	144
0	0	0	0	0	0	0	0	145
0	0	0	0	0	0	0	0	146
0	0	0	0	0	0	0	0	147
0	0	0	75	0	0	75	0	148
0	0	0	75	0	0	0	0	149
0	0	0	0	0	0	0	0	150
0	75	0	0	0	0	0	0	151
0	0	0	0	75	0	0	0	152
0	0	0	0	0	0	0	0	153
0	0	0	0	0	0	0	0	154
0	0	0	0	0	0	0	0	155
0	0	0	0	0	0	0	0	156
0	0	0	0	0	0	0	0	157
0	0	0	0	0	0	0	0	158
0	0	75	0	0	0	0	0	159
0	0	75	0	0	0	0	0	160
0	0	0	0	0	0	0	204	161
75	75	75	75	75	0	0	0	162
0	0	0	0	0	0	0	0	163
0	0	0	0	0	0	0	0	164
75	75	75	75	75	75	75	75	165
75	75	75	75	75	75	75	75	166
0	0	0	0	0	0	0	0	167
0	0	0	0	0	75	75	0	168
75	75	75	75	0	75	75	75	169
75	75	75	75	75	75	75	75	170
0	0	0	0	0	0	0	0	171
75	75	75	75	0	0	75	75	172
75	75	75	75	0	0	0	75	173
75	75	75	75	0	0	0	0	174
75	75	75	75	0	0	0	75	175
0	0	0	0	0	0	0	0	176
0	0	0	0	75	75	0	0	177
75	75	75	75	0	0	0	75	178
75	75	75	75	0	0	0	0	179
75	75	75	75	75	0	75	0	180
0	0	0	0	0	0	0	0	181
0	0	0	0	0	75	0	0	182
0	0	0	0	0	0	0	0	183
0	0	0	0	0	0	0	0	184
75	0	0	0	0	0	0	0	185
0	0	0	0	0	0	0	75	186
0	0	0	0	0	0	0	0	187
0	0	0	0	0	0	0	0	188
0	0	0	0	0	0	0	0	189
0	0	0	0	0	0	0	0	190
0	0	0	0	0	0	0	75	191
0	0	0	75	0	0	0	0	192
75	75	75	75	75	0	0	75	193
75	75	75	75	75	75	0	0	194
75	75	75	75	75	75	75	75	195
75	75	75	75	75	75	75	75	196
75	75	75	75	75	75	75	75	197
75	75	75	75	75	75	75	75	198
75	75	75	75	75	75	0	0	199
75	75	75	75	0	75	0	75	200
0	204	75	75	0	0	0	0	201
75	75	75	75	0	0	0	75	202
0	75	0	75	0	0	0	75	203
75	75	75	75	75	0	75	0	204
75	75	75	75	75	204	75	75	205
75	75	75	75	75	75	75	75	206
0	0	0	0	0	0	0	0	207
0	0	0	0	0	0	0	0	208
0	0	0	0	0	0	75	0	209
75	0	0	0	75	0	0	0	210
75	0	75	75	0	0	75	75	211
75	0	75	0	0	0	0	75	212
0	0	0	0	0	0	0	0	213
0	0	0	0	0	0	0	0	214
0	0	0	0	0	0	0	0	215
0	0	0	0	0	0	0	0	216
0	0	0	0	0	0	0	0	217
75	75	75	0	0	75	0	75	218
75	75	75	75	75	75	75	75	219
0	0	0	0	0	0	0	0	220
0	0	0	0	0	0	0	0	221
0	0	0	0	0	0	0	0	222
0	0	0	0	0	0	0	0	223
0	0	0	0	0	0	0	0	224
0	0	0	0	75	75	75	0	225
0	0	0	0	75	75	0	75	226
0	0	0	0	0	0	0	0	227
0	0	0	0	0	0	0	0	228
0	0	0	0	0	0	0	0	229
0	0	0	0	0	0	0	0	230
0	0	0	0	0	0	0	0	231
0	0	0	0	0	0	0	0	232
0	0	0	0	0	75	75	75	233
75	75	75	75	0	75	75	75	234
75	75	75	75	75	75	75	75	235
75	75	75	75	75	0	0	75	236
75	75	75	75	75	75	75	0	237
75	75	75	75	75	75	75	75	238
75	75	75	75	75	75	75	75	239
75	75	75	75	75	75	75	75	240
0	75	75	0	0	0	0	0	241
0	0	75	0	0	0	0	0	242
75	75	75	75	75	75	75	75	243
75	75	75	75	75	75	75	75	244
75	75	75	75	75	75	75	75	245
75	75	75	75	75	75	75	75	246
75	75	75	75	75	75	75	75	247
75	75	75	75	75	75	75	75	248
75	75	75	75	75	75	75	75	249
75	75	75	75	75	75	75	75	250
0	0	0	0	0	0	0	0	251
0	0	0	0	0	0	0	0	252
0	0	0	0	0	0	0	0	253
0	0	0	0	0	0	0	0	254
75	0	0	0	0	0	0	0	255
75	0	0	0	0	0	0	0	256
75	0	0	0	0	0	0	0	257
0	0	0	0	0	0	0	0	258
0	0	0	0	0	0	0	0	259
0	0	0	0	0	0	0	0	260
0	0	0	0	0	0	0	0	261
0	0	0	0	0	0	0	0	262
0	0	0	0	0	0	0	0	263
0	0	0	0	0	0	0	0	264
0	0	0	0	0	0	0	0	265
0	0	0	0	0	0	0	0	266
0	0	0	0	0	0	0	0	267
75	75	0	0	0	0	0	0	268
75	75	75	75	75	75	75	0	269
204	204	0	204	0	0	0	0	270
204	204	204	204	0	0	0	0	271
204	0	0	0	0	0	0	0	272
0	0	0	0	0	0	0	75	273
0	0	0	0	0	0	0	75	274
0	0	0	0	0	0	0	0	275
0	0	0	0	0	0	0	0	276
204	0	0	0	0	0	0	0	277
204	204	0	0	0	0	0	0	278
204	204	204	204	0	0	0	0	279
204	204	204	204	0	0	0	0	280
75	75	75	75	75	75	75	75	281
75	75	75	75	75	75	75	75	282
0	0	0	0	0	0	0	0	283
75	75	75	75	75	75	75	75	284
204	0	0	0	0	0	75	204	285
204	204	75	204	0	0	0	75	286
75	75	75	75	75	75	75	75	287
75	75	75	75	75	75	75	75	288
